131	-1239	-1160
132	-1243	-539
133	-1245	125
134	-1243	846
135	-1249	1405
141	253	-1039
142	264	-466
143	277	160
144	286	818
145	297	1330
154	1455.7	796.2
155	1470.6	1276.2
221	-437.6	-348
222	-432	296
223	-424.5	946.5
330	-1680.4	-764.6
332	-1691	264
333	-1697.4	805.4
334	-1700	1256
342	-507	298
343	-504.3	828.6
344	-499.1	1256.1
350	700.6	-592.2
351	711.5	-171.5
352	724.6	308.4
353	735	797
354	744.5	1197
361	1617	-139
362	1637.4	330.3
363	1654	812
364	1675.6	1293.4
440	-1608.5	-750.5
441	-1567.5	-24.5
442	-1623.6	685.4
443	-1600.5	1410.2
450	-913.4	-710
452	-904	681
453	-888.2	1377.2
460	-271	-669
461	-251.5	8.5
462	-250.6	675.1
463	-234	1347
471	374	26
472	386.6	665.4
473	379.5	1316.7
480	918.5	-592
481	916.5	39
482	926.5	659.5
483	934.5	1290.5
492	1470.6	652.7
500	1916	-524
501	1936.2	65.3
502	1965.4	644.5
503	1988.5	1236.5
11	-859	38
12	-858	-421
13	-853	-820
21	-570	49
22	-561	-369
23	-555	-824
31	-100	0
32	-103	-471
33	-104	-913
41	432	-33
42	433	-537
43	432	-963
51	989	3
52	988	-453
53	991	-952
61	1372	0
62	1359	-392
63	1350	-880
71	1459	67
72	1439	-348
73	1424	-763
91	1575	117
92	1565	-242
93	1550	-605
